               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11046,              0.0212,            0.038429,            0.002399,             0.60556,           0.0037845,          0.00079579,            0.047484,            0.011336,            0.018617,             0.00015,             0.00015,             0.09865
                   1,            0.097451,            0.022952,             0.03724,           0.0016961,             0.41111,           0.0060268,          0.00091912,            0.047037,             0.01069,            0.018625,          0.00030993,          0.00030993,             0.09721
                   2,            0.089584,            0.025122,            0.036894,           0.0014303,             0.35556,           0.0073201,          0.00094739,            0.046132,            0.010361,            0.018579,          0.00046958,          0.00046958,             0.09577
                   3,            0.080704,            0.024485,            0.035041,           0.0016057,             0.35556,             0.01706,           0.0019331,            0.044774,            0.010237,            0.018618,          0.00062874,          0.00062874,            0.094329
                   4,             0.08234,            0.025232,            0.036411,           0.0012969,             0.26111,           0.0094606,           0.0015842,             0.04392,            0.010108,             0.01865,           0.0007872,           0.0007872,            0.092887
                   5,            0.080686,            0.024234,            0.035289,            0.001466,             0.28889,           0.0019272,           0.0003884,            0.043556,            0.010037,            0.018654,          0.00094474,          0.00094474,            0.091445
                   6,            0.078205,            0.024446,             0.03566,           0.0016373,             0.35556,           0.0019459,          0.00039479,            0.041983,            0.010174,            0.018742,           0.0011012,           0.0011012,            0.090001
                   7,            0.078784,            0.025943,            0.035802,           0.0031247,            0.027778,           0.0018292,          0.00045025,            0.042635,            0.009905,            0.018766,           0.0012562,           0.0012562,            0.088556
                   8,            0.076631,            0.025593,            0.034731,            0.001161,             0.22222,           0.0011122,          0.00032928,            0.043116,           0.0097684,            0.018801,           0.0014098,           0.0014098,             0.08711
                   9,            0.076207,            0.025099,            0.034482,           0.0011588,             0.22222,           0.0011258,          0.00035987,             0.04366,           0.0096021,            0.018839,           0.0015616,           0.0015616,            0.085662
                  10,             0.07897,            0.023915,            0.034843,           0.0013158,             0.25556,           0.0015899,          0.00040371,            0.042681,           0.0096757,            0.018878,           0.0017115,           0.0017115,            0.084211
                  11,            0.080196,             0.02417,            0.034373,            0.008277,               0.141,           0.0063913,          0.00086264,            0.042378,           0.0096953,            0.018841,           0.0018592,           0.0018592,            0.082759
                  12,            0.075875,            0.026545,            0.034871,            0.011071,            0.066667,           0.0069129,           0.0010873,            0.042633,           0.0096349,            0.018782,           0.0020046,           0.0020046,            0.081305
                  13,            0.078839,            0.022178,            0.034607,            0.065363,            0.066667,            0.023335,             0.00315,            0.041609,           0.0097623,            0.018822,           0.0021475,           0.0021475,            0.079847
                  14,            0.078237,            0.024529,            0.033196,           0.0058023,            0.055556,           0.0053076,           0.0010387,            0.041471,           0.0096329,            0.018845,           0.0022876,           0.0022876,            0.078388
                  15,            0.075605,            0.023953,            0.034906,           0.0072645,             0.17778,           0.0038338,          0.00080888,            0.042257,           0.0094285,            0.018867,           0.0024249,           0.0024249,            0.076925
                  16,            0.074971,            0.025378,            0.033985,            0.016869,            0.055556,            0.008235,           0.0015615,            0.042248,           0.0093467,            0.018775,           0.0025592,           0.0025592,            0.075459
                  17,            0.075679,            0.025638,            0.033322,             0.04343,             0.12222,            0.013885,           0.0024385,             0.04346,           0.0092317,            0.018986,           0.0026901,           0.0026901,             0.07399
                  18,            0.076882,            0.026336,             0.03349,            0.027685,             0.23333,            0.026213,           0.0053516,            0.044758,           0.0093805,            0.021343,           0.0028177,           0.0028177,            0.072518
                  19,            0.078103,            0.025946,             0.03329,            0.016002,             0.24444,            0.012618,           0.0021154,            0.047362,            0.011562,            0.021086,           0.0029418,           0.0029418,            0.071042
                  20,             0.07587,            0.024737,            0.032927,              0.0418,                0.35,            0.037023,           0.0084143,            0.046614,           0.0090217,             0.02044,           0.0030621,           0.0030621,            0.069562
                  21,            0.079444,            0.024625,            0.034211,            0.020798,             0.36667,            0.020103,           0.0038733,            0.043774,           0.0091492,            0.018922,           0.0031785,           0.0031785,            0.068079
                  22,            0.075771,            0.024367,            0.033087,            0.087871,            0.094444,            0.034647,           0.0078675,            0.043431,           0.0090833,            0.018906,            0.003291,            0.003291,            0.066591
                  23,            0.075679,            0.024242,            0.033866,             0.49924,            0.066667,            0.047928,           0.0090728,             0.04472,            0.009478,            0.019635,           0.0033993,           0.0033993,            0.065099
                  24,            0.072998,            0.024547,            0.030742,            0.044394,            0.055556,            0.020651,           0.0046697,            0.044278,           0.0096568,            0.019545,           0.0035034,           0.0035034,            0.063603
                  25,            0.074829,            0.024756,            0.032551,            0.036874,            0.066667,            0.025195,           0.0058552,             0.04494,            0.008993,            0.019726,            0.003603,            0.003603,            0.062103
                  26,            0.075999,            0.024353,            0.034481,            0.041234,                0.15,            0.027956,           0.0075965,            0.044553,           0.0089064,            0.019151,           0.0036982,           0.0036982,            0.060598
                  27,            0.073127,            0.025583,            0.032146,             0.36107,            0.027778,            0.014421,           0.0028615,            0.043441,           0.0090297,            0.018837,           0.0037887,           0.0037887,            0.059089
                  28,             0.07497,            0.023264,            0.031942,              0.3586,             0.17778,            0.016448,           0.0046382,            0.043007,           0.0090334,            0.018845,           0.0038746,           0.0038746,            0.057575
